date,id,text, bot_non_bot
Thu Apr 26 02:50:04 +0000 2018,989335776994496512,.@NBCNewsBETTER: Don't fall victim to high-pollen counts. Here's what you can do to ease symptoms — and even preven… https://t.co/5JECspNggO,1
Thu Apr 26 02:46:04 +0000 2018,989334770319544320,"Michelle Chen: ""Whether confronted by border security or profiled by transit officials, people face criminalization… https://t.co/crckpK1I6W",1
Thu Apr 26 02:41:08 +0000 2018,989333525399834625,"Ronny Jackson, President Trump's nominee to lead the Dept. of Veterans Affairs, is in active discussions with senio… https://t.co/EZ0Z1B2Z4r",1
Thu Apr 26 02:33:08 +0000 2018,989331515245907969,https://t.co/cvXdvwauf3,1
Thu Apr 26 02:31:07 +0000 2018,989331005579329536,"Constable Ken Lam ""wants to thank the public, and he wants the public to not to call him a hero,"" Deputy Police Chi… https://t.co/DONMN4x2qP",1
Thu Apr 26 02:21:06 +0000 2018,989328486111342597,"Joseph James DeAngelo was taken into custody on a warrant out of Ventura County, California, for two murder charges… https://t.co/Ak9E7jrqDn",1
Thu Apr 26 02:15:05 +0000 2018,989326970147233792,"White House Press Secretary Sarah Huckabee Sanders gives Trump's response to the ruling on DACA saying that, ""it vi… https://t.co/kAVIb5V7Xp",1
Thu Apr 26 02:13:57 +0000 2018,989326686297600000,RT @NBCPolitics: Ronny Jackson — President Trump's pick to lead the Dept. of Veterans Affairs — is in active discussions with senior White…,1
Thu Apr 26 02:00:01 +0000 2018,989323178668273664,"President Macron makes an appeal to Congress and President Trump to remain in the Iran Deal. 

""We should not aband… https://t.co/NtJGdCfumZ",1
Thu Apr 26 01:45:04 +0000 2018,989319417925439489,"After several months of content controversy, the Google-owned video platform has announced new features that allow… https://t.co/vhi0W8BLQf",1
Thu Apr 26 01:30:03 +0000 2018,989315639478243328,"""It's pretty remarkable how lifelike it is""

Former White House Press Secretary Sean Spicer was on hand at Madame T… https://t.co/5FJFPKa45f",1
Thu Apr 26 01:20:00 +0000 2018,989313109016784897,The Hubble space telescope turns 28 today. It’s made over 1.3 million observations and changed how we see the unive… https://t.co/VIZSVolc8a,1
Thu Apr 26 01:15:05 +0000 2018,989311870556307456,"Dramatic video of the 2014 killing of a crew member for the TV show ""Cops"" during a shootout in a Nebraska Wendy's… https://t.co/nHnTk0PqH5",1
Thu Apr 26 01:10:06 +0000 2018,989310617063391232,MSNBC host Joy Reid says homophobic blog posts were not hers. https://t.co/kU7jWjSAQD - @claireatki,1
Thu Apr 26 01:00:03 +0000 2018,989308087830970370,"Rapper Meek Mill is on a mission to ""shine a light"" on how the criminal justice system treats minorities. via… https://t.co/iJdrNJ00cq",1
Thu Apr 26 00:45:06 +0000 2018,989304327847186437,"At least 31 more people have gotten sick after eating romaine lettuce, the Centers for Disease Control and Preventi… https://t.co/BbUSRhPFwr",1
Thu Apr 26 00:31:06 +0000 2018,989300803444846596,Former gymnastics doctor Larry Nassar's ex-boss — already accused of groping and propositioning medical students —… https://t.co/1tDjfkSI8T,1
Thu Apr 26 00:14:05 +0000 2018,989296520599138304,"Anu Bundel: ""The Handmaid's Tale"" season two focuses more on building its dystopia, less on traumatizing fans… https://t.co/5FqQyESfwu",1
Thu Apr 26 00:10:07 +0000 2018,989295523977940992,Tomorrow on @Morning_Joe: @MichaelAvenatti joins the table at 8amET on @MSNBC https://t.co/Js0zqFOTnr,1
Thu Apr 26 00:00:03 +0000 2018,989292988294627328,"Children who attend pre-K are more ready for school at the end of that year than those who don’t got to pre-K, acco… https://t.co/kU3r7hj4Zm",1
Wed Apr 25 23:46:02 +0000 2018,989289462759919616,A federal judge has issued a permanent injunction blocking the Trump administration from cutting grants to Planned… https://t.co/FOCqesuQjR,1
Wed Apr 25 23:41:46 +0000 2018,989288387528949760,"@anblanx Michael Cohen, President Trump's longtime personal lawyer, filed a declaration in federal court asserting… https://t.co/QTEQXZpdQi",1
Wed Apr 25 23:34:33 +0000 2018,989286571282055168,"RT @NBCNewsWorld: French President Macron says, via translator, that he does not know what President Trump might be deciding on the Iran nu…",1
Wed Apr 25 23:28:10 +0000 2018,989284965694111744,"RT @NBCNightlyNews: EXCLUSIVE: Rapper Meek Mill sits down with @LesterHoltNBC for an exclusive interview, his first since leaving prison.…",1
Wed Apr 25 23:20:00 +0000 2018,989282910283943936,Former President George H.W. Bush has been moved from the intensive-care unit to a regular hospital room after bein… https://t.co/RSN0ARYlsZ,1
Wed Apr 25 23:15:03 +0000 2018,989281664307224579,Group of women accuse Pennsylvania golf club of racial discrimination after they were kicked out over the weekend f… https://t.co/S6rRei2yEt,1
Wed Apr 25 23:10:04 +0000 2018,989280410428497920,"Kanye West, making the most of his return to Twitter after almost a year away, doubled down on his praise for Presi… https://t.co/zLDCszYZbK",1
Wed Apr 25 23:00:15 +0000 2018,989277940214091778,The Trump administration has published its new plan for fighting teen pregnancy and its message to teens is clear:… https://t.co/SJIrQgARD2,1
